rewards,infected
-925.5500000000001,911.5999999999999
-925.6000000000003,911.833333333333
-928.4833333333332,913.9
-924.316666666667,909.6666666666666
-926.5000000000001,911.6666666666665
-925.4,911.1666666666667
-927.2666666666667,912.0000000000001
-927.1999999999999,913.2
-926.9833333333331,912.2666666666667
-924.1499999999999,910.5000000000002
-925.3166666666668,911.3000000000001
-928.1333333333334,913.4000000000001
-928.1166666666668,913.6
-926.7333333333333,912.4666666666667
-925.6333333333332,912.5000000000001
-925.2833333333331,910.4666666666667
-923.7166666666669,909.3000000000001
-927.7999999999998,912.8666666666666
-926.2500000000001,912.1333333333332
-925.5666666666665,910.8
-924.6999999999999,911.1666666666669
-923.4500000000004,909.9000000000001
-925.8833333333333,911.2666666666668
-926.0333333333334,911.8666666666667
-927.2166666666669,913.4000000000001
-925.4,911.3333333333333
-926.1833333333333,912.0333333333333
-926.7666666666667,912.1
-925.3333333333334,911.1333333333331
-926.4333333333333,911.8333333333335
-925.5333333333335,910.8666666666666
-926.45,912.1333333333333
-924.8333333333335,910.3000000000001
-924.0666666666666,910.3666666666667
-927.1833333333335,913.2
-928.7500000000001,913.8000000000001
-926.2333333333333,911.6000000000003
-926.15,912.4000000000002
-925.0999999999999,911.8000000000003
-925.6666666666666,911.5333333333333
-925.5666666666667,911.1
-924.5166666666668,910.3666666666667
-927.1666666666669,912.4000000000001
-926.2333333333336,911.6333333333332
-924.5833333333333,910.9999999999999
-926.0833333333333,910.7666666666667
-926.5500000000001,911.8666666666667
-926.2500000000001,911.8000000000001
-925.9166666666667,912.0666666666666
-924.0500000000002,910.1666666666665
-926.0666666666667,911.633333333333
-923.2000000000004,909.1333333333332
-925.2333333333331,911.1999999999998
-925.2166666666667,910.4333333333333
-926.6166666666668,912.5
-927.95,913.0333333333334
-926.6833333333333,912.6666666666667
-925.6333333333332,911.1666666666667
-925.3500000000001,910.4666666666667
-926.5833333333336,913.4333333333333
-924.4666666666669,911.0
-924.1666666666666,910.0666666666666
-923.5833333333334,909.433333333333
-923.7333333333335,909.9666666666665
-925.7333333333335,911.9
-926.3,912.6333333333332
-925.2333333333333,911.1333333333336
-926.95,912.0333333333334
-927.0333333333334,912.7999999999998
-926.1333333333332,911.5333333333333
-924.3333333333333,911.3999999999999
-923.6833333333335,909.9000000000002
-924.5000000000001,910.6000000000001
-926.3,911.7
-927.6,913.1
-927.5500000000001,913.4333333333332
-927.2499999999999,912.8666666666667
-927.5166666666667,912.0000000000002
-925.8666666666664,911.9333333333335
-925.25,910.8999999999999
-923.4666666666665,909.4666666666667
-926.7166666666669,912.7666666666667
-928.3666666666666,914.2999999999998
-924.2666666666668,911.0333333333333
-927.85,913.1000000000001
-926.7166666666667,912.3666666666666
-927.6333333333333,913.1999999999999
-927.8333333333334,913.2666666666667
-923.95,909.4000000000002
-925.35,911.3666666666668
-925.4333333333333,911.066666666667
-927.0666666666667,911.6666666666666
-925.4166666666669,911.1333333333331
-924.7166666666667,911.2666666666667
-927.5000000000002,913.4333333333332
-925.2999999999998,910.6999999999997
-924.3666666666668,910.4
-925.8500000000001,911.0
-924.7166666666667,910.7333333333333
-926.5000000000001,912.3666666666666
-925.3666666666669,911.2666666666665
-925.1166666666667,911.1666666666669
-924.2000000000002,909.6333333333333
-926.0833333333334,913.1333333333334
-925.7166666666667,911.2
-925.7333333333333,911.9666666666668
-924.0833333333334,910.4666666666667
-927.1333333333333,912.3666666666666
-927.0833333333335,912.8000000000001
-923.5000000000002,909.4999999999999
-926.3833333333332,912.7666666666669
-927.2333333333332,912.9000000000001
-924.05,909.6333333333333
-923.8500000000001,909.5666666666667
-926.8166666666666,912.2666666666665
-927.8333333333334,913.6999999999999
-927.65,912.9666666666667
-924.5666666666666,910.5333333333333
-927.8666666666668,913.6666666666666
-925.4500000000003,911.0666666666668
-926.4499999999999,912.2333333333335
-926.0499999999997,911.4333333333336
-926.6000000000001,911.8666666666667
-926.4166666666666,911.6
-925.55,911.8000000000002
-925.0833333333336,910.8999999999999
-926.95,913.3333333333334
-926.0166666666667,911.4000000000001
-925.5666666666666,911.3666666666667
-926.6166666666667,911.7333333333333
-923.7333333333333,909.9333333333335
-928.2333333333333,914.1333333333332
